,Player Names,Player Salaries
349,Jahlil Okafor,"$2,089,448"
350,Bones Hyland,"$2,089,448"
351,Nemanja Bjelica,"$2,089,448"
352,Frank Kaminsky,"$2,075,880"
353,Raul Neto,"$2,063,280"
354,Udoka Azubuike,"$2,048,040"
355,Jaden McDaniels,"$2,038,942"
356,Malachi Flynn,"$2,036,280"
357,DeMarcus Cousins,"$2,033,160"
358,Cam Thomas,"$2,023,680"
359,Desmond Bane,"$2,009,160"
360,Jaden Springer,"$2,000,000"
361,Day'Ron Sharpe,"$2,000,000"
362,Jordan McLaughlin,"$2,000,000"
363,Garrison Mathews,"$2,000,000"
364,Jeremiah Robinson-Earl,"$2,000,000"
365,Kenrich Williams,"$2,000,000"
366,Theo Maledon,"$1,994,520"
367,Abdel Nader,"$1,977,011"
368,Santiago Aldama,"$1,958,495"
369,Damian Jones,"$1,939,350"
370,Wesley Matthews,"$1,939,350"
371,Timothe Luwawu,"$1,933,909"
372,Rodney McGruder,"$1,926,834"
373,Moses Brown,"$1,925,406"
374,Wesley Iwundu,"$1,910,860"
375,Jose Alvarado,"$1,910,860"
376,Damion Lee,"$1,901,625"
377,PJ Dozier,"$1,869,438"
378,Killian Tillie,"$1,865,546"
379,Tyrell Terry,"$1,859,365"
380,Larry Sanders,"$1,846,738"
381,Carsen Edwards,"$1,802,057"
382,Shake Milton,"$1,802,057"
383,Jalen Brunson,"$1,789,256"
384,Mitchell Robinson,"$1,789,256"
385,Tony Bradley,"$1,789,256"
386,Frank Ntilikina,"$1,789,256"
387,Semi Ojeleye,"$1,789,256"
388,Malik Monk,"$1,786,878"
389,Dennis Smith,"$1,782,621"
390,Didi Louzada,"$1,782,621"
391,Kevin Porter,"$1,782,621"
392,Jalen McDaniels,"$1,782,621"
393,Terance Mann,"$1,782,621"
394,Jaylen Nowell,"$1,782,621"
395,Naz Reid,"$1,782,621"
396,Isaiah Roby,"$1,782,621"
397,Daniel Gafford,"$1,782,621"
398,Nicolas Claxton,"$1,782,621"
399,Cody Martin,"$1,782,621"
400,Dean Wade,"$1,782,621"
401,Vlatko Cancar,"$1,782,621"
402,Bruno Fernando,"$1,782,621"
403,Luguentz Dort,"$1,782,621"
404,KZ Okpala,"$1,762,796"
405,Eric Paschall,"$1,762,796"
406,Chimezie Metu,"$1,739,065"
407,Yuta Watanabe,"$1,729,217"
408,Armoni Brooks,"$1,729,217"
409,Thanasis Antetokounmpo,"$1,729,217"
410,Keita Bates-Diop,"$1,729,217"
411,Sviatoslav Mykhailiuk,"$1,729,217"
412,Isaiah Hartenstein,"$1,729,217"
413,Moritz Wagner,"$1,701,593"
414,Isaac Bonga,"$1,701,593"
415,Juan Toscano-Anderson,"$1,700,000"
416,Oshae Brissett,"$1,690,507"
417,Herb Jones,"$1,669,178"
418,Gabriel Deck,"$1,669,178"
419,Javonte Green,"$1,669,178"
420,Max Strus,"$1,669,178"
421,Gabe Vincent,"$1,669,178"
422,Matt Thomas,"$1,619,015"
423,Gary Payton II,"$1,614,825"
424,Robert Woodard,"$1,603,559"
425,Lance Stephenson,"$1,603,559"
426,Deividas Sirvydis,"$1,569,178"
427,Daniel Oturu,"$1,518,213"
428,Kevin Pangos,"$1,517,981"
429,Bismack Biyombo,"$1,517,981"
430,Nick Richards,"$1,517,981"
431,Lamar Stevens,"$1,517,981"
432,KJ Martin,"$1,517,981"
433,Xavier Tillman,"$1,517,981"
434,Naji Marshall,"$1,517,981"
435,Isaiah Joe,"$1,517,981"
436,Paul Reed,"$1,517,981"
437,Tre Jones,"$1,517,981"
438,Vernon Carey,"$1,517,981"
439,Jae'Sean Tate,"$1,517,981"
440,Sam Merrill,"$1,517,981"
441,Jordan Nwora,"$1,517,981"
442,CJ Elleby,"$1,517,981"
443,Elijah Hughes,"$1,517,981"
444,Jahmi'us Ramsey,"$1,500,000"
445,Anthony Gill,"$1,489,065"
446,Isaiah Todd,"$1,489,065"
447,Saben Lee,"$1,456,667"
448,Omer Yurtseven,"$1,368,998"
449,JR Smith,"$1,346,676"
450,Stanley Johnson,"$1,305,761"
451,Duane Washington Jr,"$1,292,900"
452,Aaron Wiggins,"$1,250,000"
453,Marquese Chriss,"$1,242,340"
454,JT Thor,"$1,168,286"
455,DeMarre Carroll,"$1,090,007"
456,Jabari Parker,"$1,068,200"
457,Alfonzo McKinnie,"$1,062,303"
458,Zhaire Smith,"$1,057,260"
459,Jason Preston,"$1,039,080"
460,Isaiah Livers,"$1,005,633"
461,Guerschon Yabusele,"$1,003,740"
462,Denzel Valentine,"$999,200"
463,Alize Johnson,"$993,760"
464,Kyle Singler,"$946,261"
465,Kelan Martin,"$925,258"
466,Miye Oni,"$925,258"
467,Ayo Dosunmu,"$925,258"
468,Marko Simonovic,"$925,258"
469,BJ Boston,"$925,258"
470,Austin Reaves,"$925,258"
471,Miles McBride,"$925,258"
472,Vit Krejci,"$925,258"
473,Charles Bassey,"$925,258"
474,Greg Brown,"$925,258"
475,Jock Landale,"$925,258"
476,Jared Butler,"$925,258"
477,Luka Garza,"$923,078"
478,Dalano Banton,"$910,926"
479,Daishen Nix,"$895,125"
480,Isaiah Thomas,"$869,078"
481,Terry Taylor,"$844,011"
482,Mamadi Diakite,"$814,918"
483,Caleb Martin,"$812,364"
484,Brad Wanamaker,"$812,363"
485,Luke Kornet,"$811,213"
486,Wayne Selden,"$774,727"
487,Gary Clark,"$768,830"
488,Ryan Arcidiacono,"$737,067"
489,Trendon Watford,"$726,128"
490,Patrick Patterson,"$723,741"
491,Devontae Cacok,"$707,893"
492,Admiral Schofield,"$666,666"
493,Ishmail Wainright,"$630,874"
494,Shaun Livingston,"$619,498"
495,Malik Fitts,"$612,805"
496,Sam Hauser,"$573,576"
497,Greg Monroe,"$563,663"
498,Amir Coffey,"$558,345"
499,Joe Wieskamp,"$547,701"
500,Keifer Sykes,"$534,993"
501,Haywood Highsmith,"$532,398"
502,Nik Stauskas,"$522,015"
503,Davon Reed,"$510,907"
504,Wenyen Gabriel,"$499,852"
505,Skylar Mays,"$491,876"
506,Georgios Kalaitzakis,"$479,650"
507,RJ Nembhard,"$463,211"
508,Chris Silva,"$463,211"
509,Kessler Edwards,"$462,629"
510,Trent Forrest,"$462,629"
511,Sharife Cooper,"$462,629"
512,Brodric Thomas,"$462,629"
513,David Duke,"$462,629"
514,Arnoldas Kulboka,"$462,629"
515,Scottie Lewis,"$462,629"
516,Tyler Cook,"$462,629"
517,Markus Howard,"$462,629"
518,Jamorko Pickett,"$462,629"
519,Sean Chris Smith,"$462,629"
520,Chris Chiozza,"$462,629"
521,Jay Scrubb,"$462,629"
522,Yves Pons,"$462,629"
523,Sandro Mamukelashvili,"$462,629"
524,Nathan Knight,"$462,629"
525,McKinley Wright,"$462,629"
526,Jericho Sims,"$462,629"
527,Ignas Brazdeikis,"$462,629"
528,Keljin Blevins,"$462,629"
529,Neemias Queta,"$462,629"
530,Justin Champagnie,"$462,629"
531,David Johnson,"$462,629"
532,Joel Ayayi,"$445,828"
533,Cassius Winston,"$440,710"
534,Justin Anderson,"$431,151"
535,Theo Pinson,"$386,127"
536,Charlie Brown,"$386,127"
537,James Ennis,"$386,127"
538,Langston Galloway,"$383,079"
539,Tim Frazier,"$350,000"
540,Kyle Guy,"$346,491"
541,Sam Dekker,"$343,988"
542,Quinndary Weatherspoon,"$324,373"
543,Brandon Goodwin,"$316,396"
544,Malcolm Hill,"$308,493"
545,Louis King,"$308,493"
546,Justin Jackson,"$308,493"
547,Shaquille Harrison,"$305,761"
548,DJ Wilson,"$303,102"
549,Jeff Dowtin,"$303,102"
550,Trevelin Queen,"$300,443"
551,Paul Watson,"$300,000"
552,Myles Powell,"$295,125"
553,Jontay Porter,"$281,831"
554,Mason Jones,"$274,672"
555,Eugene Omoruyi,"$265,953"
556,Brandon Knight,"$265,878"
557,Justin Robinson,"$257,902"
558,Ja'Vonte Smart,"$257,418"
559,Mychal Mulder,"$256,734"
560,Tyler Johnson,"$256,734"
561,Cassius Stanley,"$239,291"
562,Zylan Cheatham,"$236,632"
563,Devon Dotson,"$233,973"
564,Marcus Garrett,"$225,997"
565,Lindell Wigginton,"$223,339"
566,Jay Huff,"$223,338"
567,Olivier Sarr,"$221,156"
568,Aaron Henry,"$220,679"
569,Freddie Gillespie,"$220,639"
570,JaQuori McLaughlin,"$218,021"
571,Rayjon Tucker,"$218,021"
572,Tacko Fall,"$211,046"
573,Petr Cornelie,"$205,662"
574,Juwan Morgan,"$202,069"
575,Damyean Dotson,"$198,760"
576,Xavier Moon,"$191,860"
577,Tyrone Wallace,"$191,860"
578,Norvel Pelle,"$191,860"
579,Jaylen Hoard,"$188,272"
580,Tremont Waters,"$185,578"
581,Reggie Perry,"$180,798"
582,Devin Cannady,"$172,821"
583,Brandon Williams,"$172,821"
584,Moses Wright,"$171,156"
585,DeJon Jarreau,"$171,156"
586,Dakota Mathias,"$167,504"
587,Matt Mooney,"$162,186"
588,Daulton Hommes,"$159,527"
589,Grant Riller,"$151,821"
590,Lindy Waters III,"$151,821"
591,Joe Johnson,"$151,821"
592,CJ Miles,"$151,821"
