,Player Names,Player Salaries
250,Dorian Finney-Smith,"$4,000,000"
251,Terence Davis,"$4,000,000"
252,Gorgui Dieng,"$3,980,551"
253,Aaron Holiday,"$3,946,800"
254,Josh Primo,"$3,940,184"
255,Jake Layman,"$3,938,818"
256,Anfernee Simons,"$3,902,439"
257,Justise Winslow,"$3,822,240"
258,Kira Lewis,"$3,804,360"
259,Romeo Langford,"$3,799,131"
260,Sekou Doumbouya,"$3,768,342"
261,Landry Shamet,"$3,749,400"
262,Chris Duarte,"$3,732,000"
263,Alex Len,"$3,661,976"
264,Robert Williams,"$3,631,200"
265,Aaron Nesmith,"$3,562,200"
266,Moses Moody,"$3,500,000"
267,Boban Marjanovic,"$3,500,000"
268,Mike Muscala,"$3,449,400"
269,Cole Anthony,"$3,383,640"
270,Corey Kispert,"$3,355,239"
271,Luka Samanic,"$3,300,000"
272,Georges Niang,"$3,300,000"
273,Michael Carter-Williams,"$3,277,080"
274,Isaiah Stewart,"$3,277,080"
275,Chuma Okeke,"$3,261,480"
276,Nickeil Alexander-Walker,"$3,214,680"
277,Alperen Sengun,"$3,200,000"
278,Facundo Campazzo,"$3,169,348"
279,Jon Leuer,"$3,150,000"
280,Trey Burke,"$3,113,160"
281,Aleksej Pokusevski,"$3,098,400"
282,Goga Bitadze,"$3,053,760"
283,Trey Murphy,"$3,000,000"
284,Sterling Brown,"$3,000,000"
285,Frank Jackson,"$2,957,520"
286,Josh Green,"$2,901,240"
287,Tre Mann,"$2,844,429"
288,Andrew Nicholson,"$2,840,160"
289,Matisse Thybulle,"$2,824,320"
290,Saddiq Bey,"$2,770,560"
291,Kai Jones,"$2,726,880"
292,Brandon Clarke,"$2,711,280"
293,Precious Achiuwa,"$2,692,991"
294,Marc Gasol,"$2,659,680"
295,Jalen Johnson,"$2,641,691"
296,LaMarcus Aldridge,"$2,641,691"
297,James Johnson,"$2,641,691"
298,Ed Davis,"$2,641,691"
299,Andre Iguodala,"$2,641,691"
300,Enes Kanter,"$2,641,691"
301,Carmelo Anthony,"$2,641,691"
302,Trevor Ariza,"$2,641,691"
303,Avery Bradley,"$2,641,691"
304,Wayne Ellington,"$2,641,691"
305,Dwight Howard,"$2,641,691"
306,Udonis Haslem,"$2,641,691"
307,Markieff Morris,"$2,641,691"
308,E'Twaun Moore,"$2,641,691"
309,Paul Millsap,"$2,617,800"
310,Grant Williams,"$2,602,920"
311,Tyrese Maxey,"$2,553,240"
312,Keon Johnson,"$2,513,040"
313,Darius Bazley,"$2,500,000"
314,Trey Lyles,"$2,498,760"
315,Zeke Nnaji,"$2,451,240"
316,Isaiah Jackson,"$2,412,840"
317,Ty Jerome,"$2,401,537"
318,Andre Drummond,"$2,401,537"
319,Austin Rivers,"$2,401,537"
320,Kent Bazemore,"$2,401,537"
321,Hassan Whiteside,"$2,389,641"
322,Otto Porter,"$2,389,641"
323,Victor Oladipo,"$2,389,641"
324,Tony Snell,"$2,389,641"
325,Solomon Hill,"$2,389,641"
326,Ben McLemore,"$2,389,641"
327,Cody Zeller,"$2,353,320"
328,Usman Garuba,"$2,353,320"
329,Leandro Bolmaro,"$2,327,220"
330,Willy Hernangomez,"$2,320,000"
331,Edmond Sumner,"$2,316,240"
332,Nassir Little,"$2,303,040"
333,RJ Hampton,"$2,271,045"
334,DeAndre Bembry,"$2,259,240"
335,Josh Christopher,"$2,245,400"
336,Monta Ellis,"$2,239,820"
337,Drew Eubanks,"$2,239,544"
338,Rodney Hood,"$2,239,544"
339,Elfrid Payton,"$2,239,200"
340,Dylan Windler,"$2,210,640"
341,Immanuel Quickley,"$2,200,000"
342,John Konchar,"$2,168,640"
343,Quentin Grimes,"$2,161,440"
344,Jordan Poole,"$2,161,152"
345,Bol Bol,"$2,145,720"
346,Keldon Johnson,"$2,137,440"
347,Payton Pritchard,"$2,130,023"
348,Jahlil Okafor,"$2,096,880"
349,Bones Hyland,"$2,089,448"
350,Nemanja Bjelica,"$2,089,448"
351,Frank Kaminsky,"$2,089,448"
352,Raul Neto,"$2,075,880"
353,Udoka Azubuike,"$2,063,280"
354,Jaden McDaniels,"$2,048,040"
355,Malachi Flynn,"$2,038,942"
356,DeMarcus Cousins,"$2,036,280"
357,Cam Thomas,"$2,033,160"
358,Desmond Bane,"$2,023,680"
359,Jaden Springer,"$2,009,160"
360,Day'Ron Sharpe,"$2,000,000"
361,Jordan McLaughlin,"$2,000,000"
362,Garrison Mathews,"$2,000,000"
363,Jeremiah Robinson-Earl,"$2,000,000"
364,Kenrich Williams,"$2,000,000"
365,Theo Maledon,"$2,000,000"
366,Abdel Nader,"$1,994,520"
367,Santiago Aldama,"$1,977,011"
368,Damian Jones,"$1,958,495"
369,Wesley Matthews,"$1,939,350"
370,Timothe Luwawu,"$1,939,350"
371,Rodney McGruder,"$1,933,909"
372,Moses Brown,"$1,926,834"
373,Wesley Iwundu,"$1,925,406"
374,Jose Alvarado,"$1,910,860"
375,Damion Lee,"$1,910,860"
376,PJ Dozier,"$1,901,625"
377,Killian Tillie,"$1,869,438"
378,Tyrell Terry,"$1,865,546"
379,Larry Sanders,"$1,859,365"
380,Carsen Edwards,"$1,846,738"
381,Shake Milton,"$1,802,057"
382,Jalen Brunson,"$1,802,057"
383,Mitchell Robinson,"$1,789,256"
384,Tony Bradley,"$1,789,256"
385,Frank Ntilikina,"$1,789,256"
386,Semi Ojeleye,"$1,789,256"
387,Malik Monk,"$1,789,256"
388,Dennis Smith,"$1,786,878"
389,Didi Louzada,"$1,782,621"
390,Kevin Porter,"$1,782,621"
391,Jalen McDaniels,"$1,782,621"
392,Terance Mann,"$1,782,621"
393,Jaylen Nowell,"$1,782,621"
394,Naz Reid,"$1,782,621"
395,Isaiah Roby,"$1,782,621"
396,Daniel Gafford,"$1,782,621"
397,Nicolas Claxton,"$1,782,621"
398,Cody Martin,"$1,782,621"
399,Dean Wade,"$1,782,621"
400,Vlatko Cancar,"$1,782,621"
401,Bruno Fernando,"$1,782,621"
402,Luguentz Dort,"$1,782,621"
403,KZ Okpala,"$1,782,621"
404,Eric Paschall,"$1,762,796"
405,Chimezie Metu,"$1,762,796"
406,Yuta Watanabe,"$1,739,065"
407,Armoni Brooks,"$1,729,217"
408,Thanasis Antetokounmpo,"$1,729,217"
409,Keita Bates-Diop,"$1,729,217"
410,Sviatoslav Mykhailiuk,"$1,729,217"
411,Isaiah Hartenstein,"$1,729,217"
412,Moritz Wagner,"$1,729,217"
413,Isaac Bonga,"$1,701,593"
414,Juan Toscano-Anderson,"$1,701,593"
415,Oshae Brissett,"$1,700,000"
416,Herb Jones,"$1,690,507"
417,Gabriel Deck,"$1,669,178"
418,Javonte Green,"$1,669,178"
419,Max Strus,"$1,669,178"
420,Gabe Vincent,"$1,669,178"
421,Matt Thomas,"$1,669,178"
422,Gary Payton II,"$1,619,015"
423,Robert Woodard,"$1,614,825"
424,Lance Stephenson,"$1,603,559"
425,Deividas Sirvydis,"$1,603,559"
426,Daniel Oturu,"$1,569,178"
427,Kevin Pangos,"$1,518,213"
428,Bismack Biyombo,"$1,517,981"
429,Nick Richards,"$1,517,981"
430,Lamar Stevens,"$1,517,981"
431,KJ Martin,"$1,517,981"
432,Xavier Tillman,"$1,517,981"
433,Naji Marshall,"$1,517,981"
434,Isaiah Joe,"$1,517,981"
435,Paul Reed,"$1,517,981"
436,Tre Jones,"$1,517,981"
437,Vernon Carey,"$1,517,981"
438,Jae'Sean Tate,"$1,517,981"
439,Sam Merrill,"$1,517,981"
440,Jordan Nwora,"$1,517,981"
441,CJ Elleby,"$1,517,981"
442,Elijah Hughes,"$1,517,981"
443,Jahmi'us Ramsey,"$1,517,981"
444,Anthony Gill,"$1,500,000"
445,Isaiah Todd,"$1,489,065"
446,Saben Lee,"$1,489,065"
447,Omer Yurtseven,"$1,456,667"
448,JR Smith,"$1,368,998"
449,Stanley Johnson,"$1,346,676"
450,Duane Washington Jr,"$1,305,761"
451,Aaron Wiggins,"$1,292,900"
452,Marquese Chriss,"$1,250,000"
453,JT Thor,"$1,242,340"
454,DeMarre Carroll,"$1,168,286"
455,Jabari Parker,"$1,090,007"
456,Alfonzo McKinnie,"$1,068,200"
457,Zhaire Smith,"$1,062,303"
458,Jason Preston,"$1,057,260"
459,Isaiah Livers,"$1,039,080"
460,Guerschon Yabusele,"$1,005,633"
461,Denzel Valentine,"$1,003,740"
462,Alize Johnson,"$999,200"
463,Kyle Singler,"$993,760"
464,Kelan Martin,"$946,261"
465,Miye Oni,"$925,258"
466,Ayo Dosunmu,"$925,258"
467,Marko Simonovic,"$925,258"
468,BJ Boston,"$925,258"
469,Austin Reaves,"$925,258"
470,Miles McBride,"$925,258"
